date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2022-01-03,15,0,5,-36,-77,21
2022-01-04,11,10,-9,-27,-43,15
2022-01-05,-2,7,-16,-21,-16,8
2022-01-06,-12,0,-25,-21,-9,8
2022-01-07,-14,0,-23,-20,-8,8
2022-01-08,-10,4,-19,-20,-3,5
2022-01-09,-7,3,-7,-19,-6,4
2022-01-10,8,7,7,-41,-59,19
2022-01-11,-14,0,-36,-19,-6,7
2022-01-12,-12,3,-19,-20,-5,6
2022-01-13,-13,2,-22,-21,-6,6
2022-01-14,-17,0,-23,-23,-7,7
2022-01-15,-13,6,-22,-26,-4,6
2022-01-16,-15,2,-18,-30,-6,6
2022-01-17,-13,1,-18,-21,-7,6
2022-01-18,-11,2,-18,-22,-8,7
2022-01-19,-12,3,-15,-23,-8,6
2022-01-20,-12,5,-20,-24,-8,7
2022-01-21,-18,1,-22,-26,-9,8
2022-01-22,-15,5,-20,-30,-10,7
2022-01-23,-20,-2,-37,-36,-8,7
2022-01-24,-16,1,-20,-25,-8,7
2022-01-25,-10,8,-13,-25,-9,8
2022-01-26,-14,4,-14,-27,-10,7
2022-01-27,-16,4,-16,-27,-10,8
2022-01-28,-19,3,-17,-29,-10,9
2022-01-29,-18,5,-23,-33,-9,8
2022-01-30,-18,3,-23,-36,-8,7
2022-01-31,-16,3,-18,-27,-8,7
2022-02-01,-14,5,-14,-27,-10,8
2022-02-02,-17,4,-15,-29,-10,8
2022-02-03,-15,12,-17,-28,-10,8
2022-02-04,-21,0,-19,-30,-11,10
2022-02-05,-20,3,-31,-35,-10,9
2022-02-06,-22,-1,-29,-38,-10,8
2022-02-07,-18,1,-18,-27,-10,8
2022-02-08,-14,4,-16,-27,-11,8
2022-02-09,-13,8,-10,-26,-10,7
2022-02-10,-21,-2,-36,-30,-14,10
2022-02-11,-9,2,-4,-48,-58,23
2022-02-12,-14,7,-10,-30,-15,8
2022-02-13,-23,-4,-45,-37,-10,8
2022-02-14,-15,1,-18,-25,-9,7
2022-02-15,-11,8,-12,-25,-10,7
2022-02-16,-14,4,-15,-26,-10,7
2022-02-17,-16,2,-21,-27,-10,8
2022-02-18,-16,3,-16,-27,-10,9
2022-02-19,-18,0,-36,-32,-8,8
2022-02-20,-18,0,-36,-36,-8,7
2022-02-21,-16,-2,-21,-25,-9,7
2022-02-22,-8,5,-14,-23,-9,7
2022-02-23,0,4,-1,-46,-55,19
2022-02-24,-14,3,-18,-24,-9,7
2022-02-25,-15,4,-16,-24,-9,7
2022-02-26,-12,6,-9,-24,-7,6
2022-02-27,-13,4,-12,-28,-5,5
2022-02-28,-10,4,-11,-22,-7,6
2022-03-01,-13,1,-21,-25,-9,7
2022-03-02,-13,3,-13,-25,-9,6
2022-03-03,-11,5,-14,-25,-9,7
2022-03-04,-17,0,-17,-26,-10,8
2022-03-05,-12,4,-14,-26,-8,6
2022-03-06,-13,1,-18,-28,-6,5
2022-03-07,-14,0,-19,-24,-8,6
2022-03-08,-12,1,-17,-24,-9,7
2022-03-09,-11,1,-11,-24,-9,6
2022-03-10,-10,3,-13,-23,-9,6
2022-03-11,-14,-1,-15,-24,-10,7
2022-03-12,-9,4,-8,-21,-10,5
2022-03-13,-9,3,-7,-22,-5,4
2022-03-14,-10,-1,-18,-22,-8,6
2022-03-15,-8,4,-13,-22,-9,6
2022-03-16,-10,2,-8,-22,-9,5
2022-03-17,-10,3,-13,-22,-9,6
2022-03-18,-19,-9,-43,-25,-12,9
2022-03-19,-11,3,-25,-19,-8,5
2022-03-20,-3,7,1,-11,-5,2
2022-03-21,11,6,15,-36,-59,17
2022-03-22,-16,-5,-37,-22,-9,7
2022-03-23,-10,0,-19,-21,-8,5
2022-03-24,-7,2,-10,-20,-9,5
2022-03-25,-8,3,-7,-19,-10,5
2022-03-26,-14,-4,-38,-22,-9,6
2022-03-27,-5,5,8,-14,-4,2
2022-03-28,-5,1,-1,-17,-10,5
2022-03-29,-3,2,0,-19,-11,5
2022-03-30,-2,4,15,-18,-11,4
2022-03-31,-7,2,-13,-20,-9,5
2022-04-01,-13,-3,-10,-21,-10,6
2022-04-02,-8,2,12,-15,-10,3
2022-04-03,-12,-3,-13,-20,-9,4
2022-04-04,-14,-8,-18,-20,-12,5
2022-04-05,-5,2,7,-18,-12,5
2022-04-06,-8,-1,6,-19,-12,4
2022-04-07,-9,-1,-3,-19,-12,5
2022-04-08,-11,-2,-7,-18,-12,6
2022-04-09,-7,4,5,-15,-12,4
2022-04-10,-7,5,15,-15,-7,2
2022-04-11,-12,-2,-10,-16,-10,4
2022-04-12,-8,2,-3,-16,-10,5
2022-04-13,-10,0,-5,-17,-10,4
2022-04-14,-16,-7,-32,-19,-11,6
2022-04-15,-14,-2,-32,-19,-11,6
2022-04-16,-6,5,-7,-17,-9,4
2022-04-17,-7,3,7,-16,-7,3
2022-04-18,-14,-6,-20,-16,-9,5
2022-04-19,-7,1,-3,-16,-9,4
2022-04-20,-9,1,-8,-16,-9,4
2022-04-21,-12,-4,-18,-16,-9,5
2022-04-22,-10,0,-9,-16,-9,5
2022-04-23,-7,4,-2,-14,-9,4
2022-04-24,-11,-1,-21,-20,-7,4
2022-04-25,-7,3,-6,-12,-7,3
2022-04-26,-11,-2,-23,-14,-8,5
2022-04-27,-7,2,-15,-14,-7,4
2022-04-28,3,7,-4,-8,-7,2
2022-04-29,-2,-5,-19,-36,-58,19
2022-04-30,-3,9,14,-7,-13,3
2022-05-01,-10,-2,-15,-12,-8,3
2022-05-02,14,10,13,-12,-31,8
2022-05-03,29,11,77,-16,-68,14
2022-05-04,24,9,77,-19,-69,14
2022-05-05,17,9,49,-27,-68,17
2022-05-06,-7,4,-2,-21,-21,9
2022-05-07,-12,1,-6,-17,-5,4
2022-05-08,-7,3,4,-16,-5,3
2022-05-09,-15,-5,-24,-15,-6,5
2022-05-10,-6,5,-3,-13,-7,4
2022-05-11,-10,1,-10,-15,-7,3
2022-05-12,-14,-3,-24,-16,-7,5
2022-05-13,-19,-8,-39,-19,-8,7
2022-05-14,-9,4,-18,-18,-9,5
2022-05-15,-8,4,4,-16,-5,3
2022-05-16,-13,-3,-20,-15,-6,4
2022-05-17,-8,1,-9,-14,-6,4
2022-05-18,-8,1,0,-14,-6,3
2022-05-19,-9,0,-6,-14,-7,4
2022-05-20,-10,2,-8,-15,-7,4
2022-05-21,-9,1,-14,-15,-8,4
2022-05-22,-7,3,8,-13,-5,2
2022-05-23,-10,-1,-9,-14,-6,4
2022-05-24,-7,2,-2,-13,-6,4
2022-05-25,-6,5,-2,-13,-6,3
2022-05-26,-9,1,-13,-14,-6,4
2022-05-27,-12,-3,-22,-16,-7,5
2022-05-28,-4,5,-1,-11,-9,3
2022-05-29,-5,5,7,-11,-4,2
2022-05-30,-9,0,-13,-14,-5,4
2022-05-31,-7,2,-18,-14,-4,4
2022-06-01,-7,3,-5,-15,-4,3
2022-06-02,-9,1,-9,-15,-5,4
2022-06-03,-12,-2,-15,-16,-6,5
2022-06-04,-5,5,2,-12,-9,3
2022-06-05,-8,2,-5,-15,-6,2
2022-06-06,-17,-8,-35,-16,-6,6
2022-06-07,-8,2,-13,-14,-5,4
2022-06-08,-8,1,-8,-14,-5,4
2022-06-09,-9,1,-8,-14,-5,4
2022-06-10,-9,1,-9,-14,-6,5
2022-06-11,-6,2,-17,-14,-12,4
2022-06-12,-5,4,3,-11,-5,2
2022-06-13,-10,-1,-10,-13,-4,4
2022-06-14,-11,-3,-24,-14,-5,5
2022-06-15,-6,4,-22,-13,-5,4
2022-06-16,-7,3,-10,-12,-5,4
2022-06-17,-8,1,-9,-13,-6,4
2022-06-18,-4,4,-5,-10,-9,3
2022-06-19,-3,6,1,-10,-5,2
2022-06-20,-8,3,-12,-13,-4,4
2022-06-21,-9,-2,-18,-13,-5,5
2022-06-22,-7,1,-13,-14,-4,4
2022-06-23,-8,2,-14,-13,-5,4
2022-06-24,-7,1,-16,-13,-5,4
2022-06-25,-4,6,-13,-10,-11,3
2022-06-26,-4,6,-4,-11,-5,2
2022-06-27,-8,1,-16,-13,-4,4
2022-06-28,-4,4,-12,-13,-4,4
2022-06-29,-6,3,-14,-14,-5,4
2022-06-30,-5,6,-17,-14,-3,4
2022-07-01,-9,2,-18,-15,-4,5
2022-07-02,-6,5,-13,-14,-8,3
2022-07-03,-8,2,-21,-17,-6,3
2022-07-04,-12,-1,-26,-14,-5,5
2022-07-05,-9,0,-24,-15,-6,5
2022-07-06,-9,1,-16,-16,-5,4
2022-07-07,-7,2,-14,-14,-5,4
2022-07-08,-10,-1,-16,-15,-6,5
2022-07-09,-5,3,-13,-14,-11,4
2022-07-10,-2,8,-6,-14,-5,2
2022-07-11,-11,-1,-14,-14,-5,4
2022-07-12,-10,-1,-19,-15,-7,5
2022-07-13,-10,0,-17,-15,-7,4
2022-07-14,-12,-2,-23,-15,-7,5
2022-07-15,-14,-2,-28,-16,-8,7
2022-07-16,-11,1,-24,-15,-10,5
2022-07-17,-4,3,2,-8,-8,2
2022-07-18,10,4,11,-35,-60,17
2022-07-19,-14,-1,-27,-17,-7,10
2022-07-20,-9,5,-12,-17,-6,5
2022-07-21,-11,1,-15,-18,-8,6
2022-07-22,-14,-1,-17,-20,-9,7
2022-07-23,-12,5,-11,-18,-10,5
2022-07-24,-14,1,-5,-19,-8,4
2022-07-25,-10,4,-12,-17,-10,6
2022-07-26,-9,3,-14,-19,-11,7
2022-07-27,-10,4,-11,-19,-11,6
2022-07-28,-9,4,-12,-19,-11,6
