"date","a0009","a1019","a2029","a3039","a4049","a5059","a6069","a7079","a8089","a90"
2021-03-15,0,4.98910087256184e-06,0.00126540021069101,0.00113466854554874,0.00070949121563679,0.000424336677449664,0.00112190276084448,8.56120253684407e-05,5.42416769901371e-05,0.000315136925485926
2021-03-16,0,5.51278787509347e-06,0.0013804721852004,0.00123802190907383,0.000776193760303735,0.000465977819714807,0.00123348232995756,9.65707685135638e-05,6.19224039071623e-05,0.000354178678872421
2021-03-17,0,6.07671414584873e-06,0.00150212267254997,0.00134730636615019,0.000847001825938299,0.000510423434644557,0.00135277799047364,0.000108706045800577,7.0559107095448e-05,0.000397203420165641
2021-03-18,0,6.68335442164339e-06,0.00163057424468675,0.00146272462382581,0.000922081102212937,0.000557809879637733,0.00148018315577831,0.000122134234496244,8.02649354256802e-05,0.000444579827038731
2021-03-19,0,7.33533562311934e-06,0.00176605687097734,0.00158448621048576,0.00100160390591508,0.000608280109301537,0.00161611103567395,0.00013698321070896,9.11664197489839e-05,0.000496710569838501
2021-03-20,0,8.0354462115284e-06,0.00190880815485594,0.0017128076979401,0.00108574944107464,0.000661983991374542,0.00176099560497075,0.000153393482922066,0.000103405052993899,0.00055403541992035
2021-03-21,0,8.78664612058111e-06,0.00205907357740151,0.0018479129302188,0.00117470406889321,0.000719078637452619,0.00191529261656483,0.000171519436722794,0.000117139056190171,0.000617034637199515
2021-03-22,0,9.5920772986754e-06,0.0022171067480017,0.00199003325923892,0.0012686615878101,0.000779728749178725,0.00207948066073724,0.000191530701521291,0.000132545352135039,0.000686232661024709
2021-03-23,0,1.04470438180853e-05,0.00238050484711467,0.00213702527311044,0.00136641785758102,0.000843330738752141,0.00225206238904308,0.000213521631785405,0.000149775196078161,0.000761839141051816
2021-03-24,0,1.1353705591339e-05,0.00254915334154017,0.0022887909728919,0.00146797024402465,0.000909942049553609,0.00243324181353914,0.000237677726414044,0.000169039133216395,0.000844405522604398
2021-03-25,0,1.23152416986378e-05,0.0027232275907619,0.00244549168866021,0.00157347099041577,0.000979708500864963,0.00262345334551735,0.00026421293264075,0.000190577711913238,0.000934573805924159
2021-03-26,0,1.33350266914625e-05,0.00290290862428655,0.00260729405185789,0.00168307834998048,0.00105278291724834,0.00282315284058303,0.000293362291285965,0.000214659878296662,0.00103304475314714
2021-03-27,0,1.44166426075078e-05,0.00308838331198364,0.00277437015891218,0.00179695681522354,0.00112932545904566,0.00303281860417038,0.000325384006615785,0.000241586316438236,0.00114058317809893
2021-03-28,0,1.55638917236313e-05,0.00327984453862665,0.0029468977391527,0.00191527735534734,0.00120950396786617,0.00325295243858591,0.000360561717273781,0.000271693178325292,0.0012580236951007
2021-03-29,0,1.67808100920852e-05,0.00347749138267146,0.00312506032708502,0.00203821766199206,0.00129349432768062,0.00348408073268244,0.000399206987395179,0.000305356248340647,0.00138627696326386
2021-03-30,0,1.80716819080677e-05,0.00368152929930244,0.00330904743907385,0.00216596240352813,0.00138148084215997,0.00372675559522183,0.000441662038740248,0.000342995591898791,0.00152633646498196
2021-03-31,0,1.94410547595702e-05,0.00389217030777023,0.00349905475448489,0.00229870348813311,0.00147365662891554,0.00398155603292884,0.000488302746548606,0.000385080743316796,0.00167928585955347
2021-04-01,0,2.0893755813607e-05,0.0041096331830387,0.00369528430132973,0.00243664033588528,0.00157022403131637,0.00424908917416957,0.000539541923825222,0.000432136493958976,0.0018463069550496
2021-04-02,0,2.24349089962248e-05,0.00433414365175085,0.00389794464645247,0.0025799801601062,0.00167139504857825,0.0045299915391048,0.000595832920928171,0.00048474934822222,0.00202868834362962
2021-04-03,0,2.40699532271884e-05,0.00456593459251526,0.00410725109029074,0.00272893825818309,0.00177739178483663,0.00482493035706901,0.000657673569642822,0.000543574722057123,0.00222783474744143
