Variant,Date,Prop
Delta,2021/6/7,3
Delta,2021/6/14,5
Delta,2021/6/21,7
Delta,2021/6/28,11
Delta,2021/7/5,21
Delta,2021/7/12,33
Delta,2021/7/19,44
Delta,2021/7/26,67
Delta,2021/8/2,79
Delta,2021/8/9,85
Delta,2021/8/16,89
Delta,2021/8/23,92
Delta,2021/8/30,91
Delta,2021/9/6,
Delta,2021/9/13,90
Delta,2021/9/20,88
Delta,2021/9/27,84
