date,comm,,,,work,house,obon
2021-06-20,-10,9,0,-26,-9,4,0
2021-06-21,-13,2,-5,-21,-8,5,0
2021-06-22,-10,5,-2,-22,-9,6,0
2021-06-23,-13,3,-6,-23,-9,5,0
2021-06-24,-13,4,-7,-22,-9,5,0
2021-06-25,-13,6,-7,-22,-9,6,0
2021-06-26,-10,9,-3,-22,-13,5,0
2021-06-27,-12,4,-10,-27,-9,4,0
2021-06-28,-12,4,-9,-20,-8,5,0
2021-06-29,-11,3,-13,-22,-9,6,0
2021-06-30,-13,4,-12,-23,-10,3,0
2021-07-01,-16,1,-27,-22,-9,6,0
2021-07-02,-20,-1,-30,-24,-10,8,0
2021-07-03,-12,7,-21,-27,-10,6,0
2021-07-04,-13,2,-30,-29,-10,5,0
2021-07-05,-14,3,-20,-20,-8,6,0
2021-07-06,-10,6,-9,-20,-9,6,0
2021-07-07,-14,3,-17,-22,-10,6,0
2021-07-08,-16,1,-26,-23,-10,7,0
2021-07-09,-17,2,-25,-23,-10,7,0
2021-07-10,-10,9,-14,-24,-13,6,0
2021-07-11,-10,5,-10,-25,-8,4,0
2021-07-12,-13,3,-15,-20,-9,6,0
2021-07-13,-10,7,-7,-20,-10,6,0
2021-07-14,-12,4,-8,-21,-10,5,0
2021-07-15,-9,9,-10,-20,-10,5,0
2021-07-16,-13,6,-9,-22,-10,6,0
2021-07-17,-11,8,-5,-22,-10,4,0
2021-07-18,-11,6,-2,-23,-9,4,0
2021-07-19,-12,4,-10,-21,-9,5,0
2021-07-20,-6,10,-5,-20,-9,5,0
2021-07-21,-4,11,-2,-17,-10,4,0
2021-07-22,9,13,22,-35,-56,15,1
2021-07-23,-1,9,25,-40,-59,19,1
2021-07-24,-14,6,-3,-23,-20,6,1
2021-07-25,-16,5,-4,-23,-10,4,1
2021-07-26,-11,7,-6,-20,-11,5,0
2021-07-27,-11,5,-12,-25,-13,7,0
2021-07-28,-11,7,-6,-23,-12,6,0
2021-07-29,-11,6,-8,-24,-13,6,0
2021-07-30,-14,6,-11,-25,-13,7,0
2021-07-31,-15,7,-13,-27,-9,6,0
2021-08-01,-15,6,-11,-29,-8,5,0
2021-08-02,-12,6,-11,-23,-12,6,0
2021-08-03,-10,7,-8,-25,-14,7,0
2021-08-04,-12,7,-6,-25,-14,6,0
2021-08-05,-12,9,-9,-26,-15,7,0
2021-08-06,-15,7,-8,-27,-15,8,0
2021-08-07,-18,6,-19,-28,-11,6,1
2021-08-08,-19,0,-23,-32,-13,6,1
2021-08-09,-2,3,-13,-48,-62,21,1
2021-08-10,-1,15,2,-27,-26,9,0
2021-08-11,-2,13,9,-28,-30,10,0
2021-08-12,-2,12,-12,-34,-41,14,0
2021-08-13,-10,6,-31,-41,-55,21,0
2021-08-14,-25,-3,-46,-41,-43,13,0
2021-08-15,-22,1,-32,-35,-20,7,0
2021-08-16,-9,7,-21,-31,-33,13,0
2021-08-17,-16,3,-27,-30,-19,10,0
2021-08-18,-17,6,-19,-30,-16,9,0
2021-08-19,-17,5,-16,-30,-15,8,0
2021-08-20,-20,7,-15,-31,-15,10,0
2021-08-21,-21,6,-18,-33,-11,8,0
2021-08-22,-22,3,-19,-35,-10,7,0
2021-08-23,-17,4,-14,-28,-14,8,0
2021-08-24,-14,7,-8,-28,-15,8,0
2021-08-25,-15,9,-12,-28,-15,8,0
2021-08-26,-16,8,-13,-29,-15,8,0
2021-08-27,-20,6,-14,-31,-15,10,0
2021-08-28,-19,8,-17,-32,-14,8,0
2021-08-29,-20,6,-12,-33,-10,6,0
2021-08-30,-16,6,-15,-28,-13,8,0
2021-08-31,-14,8,-13,-28,-12,8,0
2021-09-01,-19,6,-18,-28,-12,8,0
2021-09-02,-22,0,-34,-30,-14,9,0
2021-09-03,-24,1,-32,-31,-14,11,0
2021-09-04,-20,4,-35,-35,-13,9,0
2021-09-05,-17,7,-12,-33,-10,7,0
2021-09-06,-18,3,-16,-27,-12,8,0
2021-09-07,-14,7,-3,-26,-13,8,0
2021-09-08,-18,3,-17,-28,-13,8,0
2021-09-09,-18,3,-22,-28,-13,8,0
2021-09-10,-18,7,-8,-28,-13,9,0
2021-09-11,-16,7,-16,-31,-15,8,0
2021-09-12,-17,4,-15,-32,-10,6,0
2021-09-13,-16,4,-10,-25,-12,7,0
2021-09-14,-16,3,-17,-25,-13,8,0
2021-09-15,-13,9,-6,-25,-12,7,0
2021-09-16,-14,9,-6,-25,-12,7,0
2021-09-17,-21,4,-21,-28,-14,10,0
2021-09-18,-22,-1,-39,-35,-14,9,1
2021-09-19,-9,9,18,-18,-10,3,1
2021-09-20,8,12,40,-39,-61,17,1
2021-09-21,-12,9,3,-22,-11,6,0
2021-09-22,-13,6,-6,-23,-10,5,0
2021-09-23,2,10,26,-42,-57,18,0
2021-09-24,-15,8,-2,-25,-14,8,0
2021-09-25,-16,8,-3,-25,-9,6,0
2021-09-26,-16,4,-13,-28,-9,5,0
2021-09-27,-13,5,-4,-22,-11,6,0
2021-09-28,-10,8,0,-22,-11,6,0
2021-09-29,-13,7,-1,-24,-11,6,0
2021-09-30,-12,11,-12,-23,-10,6,0
2021-10-01,-24,-5,-27,-30,-13,10,0
2021-10-02,-10,9,1,-21,-9,5,0
2021-10-03,-10,7,13,-20,-7,4,0
2021-10-04,-12,4,-3,-19,-9,5,0
2021-10-05,-8,8,2,-19,-10,5,0
2021-10-06,-10,6,2,-20,-10,5,0
2021-10-07,-11,5,-2,-20,-10,5,0
2021-10-08,-13,5,-1,-20,-11,6,0
2021-10-09,-9,8,4,-18,-13,5,0
2021-10-10,-9,7,11,-17,-8,3,0
2021-10-11,-11,4,-3,-19,-11,6,0
2021-10-12,-10,5,-9,-19,-10,6,0
2021-10-13,-13,1,-16,-20,-10,6,0
2021-10-14,-9,6,3,-19,-10,5,0
2021-10-15,-8,9,2,-18,-11,5,0
2021-10-16,-8,7,-6,-18,-10,4,0
2021-10-17,-10,3,-20,-23,-9,4,0
2021-10-18,-8,4,0,-18,-9,5,0
2021-10-19,-7,4,-7,-18,-10,6,0
2021-10-20,-6,7,-2,-18,-9,5,0
2021-10-21,-6,6,-3,-18,-9,5,0
2021-10-22,-12,2,-15,-19,-11,6,0
2021-10-23,-4,9,3,-14,-12,4,0
2021-10-24,-4,8,19,-13,-7,2,0
2021-10-25,-7,4,-14,-16,-9,5,0
2021-10-26,-2,8,-1,-16,-9,5,0
2021-10-27,-5,6,1,-16,-8,4,0
2021-10-28,-3,7,3,-16,-8,4,0
2021-10-29,-6,6,1,-16,-9,5,0
2021-10-30,-1,11,12,-11,-8,3,0
2021-10-31,-1,10,4,-15,-6,2,0
2021-11-01,-8,4,0,-16,-7,4,0
2021-11-02,1,8,6,-14,-7,4,0
2021-11-03,14,10,51,-33,-56,16,0
2021-11-04,-7,6,4,-15,-7,4,0
2021-11-05,-9,5,4,-16,-8,5,0
2021-11-06,-6,7,10,-12,-7,3,0
2021-11-07,-7,6,18,-13,-8,3,0
2021-11-08,-9,3,-5,-16,-7,5,0
2021-11-09,-10,0,-22,-17,-9,6,0
2021-11-10,-4,7,-3,-15,-8,4,0
2021-11-11,-5,6,-3,-15,-8,4,0
2021-11-12,-7,4,-4,-16,-8,5,0
2021-11-13,-3,8,7,-11,-12,3,0
2021-11-14,-5,6,16,-11,-8,2,0
2021-11-15,-5,5,2,-14,-7,4,0
2021-11-16,-3,7,6,-14,-7,4,0
2021-11-17,-4,5,8,-14,-8,4,0
